_key,country,description
AMDRUB_TOM,Армения,"Армянский драм (AMD) является официальной валютой Армении. Введен в 1993 году после распада Советского Союза, заменив советский рубль. Центральный банк Армении отвечает за выпуск и регулирование драма. Курс обмена отражает стоимость армянского драма по отношению к российскому рублю (RUB)."
KZTRUB_TOM,Казахстан,"Казахстанский тенге (KZT) является официальной валютой Казахстана. Он был введен в 1993 году, заменив советский рубль. Национальный банк Казахстана выпускает и регулирует тенге. Курс обмена отражает стоимость казахстанского тенге по отношению к российскому рублю (RUB)."
KGSRUB_TOM,Киргизия,"Киргизский сом (KGS) является официальной валютой Киргизии. Он был введен в 1993 году, заменив советский рубль. Национальный банк Кыргызской Республики отвечает за выпуск и регулирование сома. Курс обмена отражает стоимость киргизского сома по отношению к российскому рублю (RUB)."
UZSRUB_TOM,Узбекистан,"Узбекский сум (UZS) является официальной валютой Узбекистана. Введен в 1993 году, заменив советский рубль. Центральный банк Узбекистана отвечает за выпуск и регулирование сума. Курс обмена отражает стоимость узбекского сума по отношению к российскому рублю (RUB)."
CNYRUB_TOM,Китай,Китайский юань (CNY) является официальной валютой Китайской Народной Республики. Введен в 1948 году после основания Китайской Народной Республики. Народный банк Китая отвечает за выпуск и регулирование юаня. Курс обмена отражает стоимость китайского юаня по отношению к российскому рублю (RUB).
TJSRUB_TOM,Таджикистан,"Таджикский сомони (TJS) является официальной валютой Таджикистана. Введен в 2000 году, заменив таджикский рубль. Национальный банк Таджикистана отвечает за выпуск и регулирование сомони. Курс обмена отражает стоимость таджикского сомони по отношению к российскому рублю (RUB)."
BYNRUB_TOM,Беларусь,"Белорусский рубль (BYN) является официальной валютой Беларуси. Введен в 1992 году после распада Советского Союза, с несколькими деноминациями с тех пор. Национальный банк Республики Беларусь отвечает за выпуск и регулирование рубля. Курс обмена отражает стоимость белорусского рубля по отношению к российскому рублю (RUB)."
GLDRUB_TOM,Золото,Золото (GLD) часто рассматривается как альтернативная валюта и средство сохранения стоимости. Исторически золото использовалось в качестве денег и основы многих денежных систем. Обменный курс золота по отношению к российскому рублю (RUB) отражает текущую рыночную стоимость золота.
TRYRUB_TOM,Турция,Турецкая лира (TRY) является официальной валютой Турции. Введена в 1923 году после провозглашения Турецкой Республики. Центральный банк Турецкой Республики отвечает за выпуск и регулирование лиры. Курс обмена отражает стоимость турецкой лиры по отношению к российскому рублю (RUB).
USD000UTSTOM,США,"Доллар США (USD) является официальной валютой Соединенных Штатов Америки и одной из самых влиятельных валют в мире. Введен в 1792 году, он сыграл ключевую роль в мировой экономике. Федеральная резервная система отвечает за выпуск и регулирование долларов. Курс обмена отражает стоимость доллара США по отношению к российскому рублю (RUB)."
HKDRUB_TOM,Гонконг,Гонконгский доллар (HKD) является официальной валютой Гонконга. Введен в 1935 году. Валютное управление Гонконга отвечает за выпуск и регулирование гонконгского доллара. Курс обмена отражает стоимость гонконгского доллара по отношению к российскому рублю (RUB).
SLVRUB_TOM,Серебро,Серебро (SLV) часто рассматривается как альтернативная валюта и средство сохранения стоимости. Исторически серебро использовалось в качестве денег и основы многих денежных систем. Обменный курс серебра по отношению к российскому рублю (RUB) отражает текущую рыночную стоимость серебра.
